average_uptime,average_downtime,machine,e,ct,product
0 days 03:36:07.333333333,0 days 00:00:00.000000000,#130,1.0,0 days 00:00:10.000000000,1568
0 days 03:35:23.000000000,0 days 00:00:52.000000000,#110,0.9959922928709056,0 days 00:00:15.000000000,1570
0 days 00:26:16.608695652,0 days 00:00:10.863636363,#20-2,0.9931566452252993,0 days 00:00:16.000000000,1557
0 days 03:36:10.666666666,0 days 00:00:00.000000000,#150,1.0,0 days 00:00:30.000000000,1565
0 days 00:22:19.074074074,0 days 00:00:14.423076923,#30,0.9893438438992089,0 days 00:00:17.000000000,1558
0 days 03:22:28.666666666,0 days 00:00:00.000000000,#10,1.0,0 days 00:00:12.000000000,1551
0 days 05:26:45.000000000,0 days 00:00:50.000000000,#170,0.9974561180361231,0 days 00:00:10.000000000,1269
0 days 00:47:45.916666666,0 days 00:03:46.909090909,#70-2,0.9266337295745645,0 days 00:00:15.000000000,1568
0 days 02:41:46.750000000,0 days 00:00:15.666666666,#100,0.9983886036565668,0 days 00:00:14.000000000,1571
0 days 03:25:11.333333333,0 days 00:00:00.000000000,#80,1.0,0 days 00:00:10.000000000,1569
0 days 03:26:08.333333333,0 days 00:00:00.000000000,#120,1.0,0 days 00:00:26.000000000,787
0 days 05:07:51.500000000,0 days 00:00:54.000000000,#90,0.997085098917708,0 days 00:00:16.000000000,1570
0 days 00:47:42.750000000,0 days 00:03:46.909090909,#70-1,0.926558534701561,0 days 00:00:16.000000000,1566
0 days 03:23:08.666666666,0 days 00:00:00.000000000,#40,1.0,0 days 00:00:13.000000000,1559
0 days 03:26:01.666666666,0 days 00:00:00.000000000,#140,1.0,0 days 00:00:33.000000000,784
0 days 03:36:20.333333333,0 days 00:00:00.000000000,#160,1.0,0 days 00:00:15.000000000,1565
0 days 02:32:15.500000000,0 days 00:00:32.333333333,#50-2,0.9964731761412546,0 days 00:00:15.000000000,1562
0 days 02:32:09.750000000,0 days 00:00:32.333333333,#50-1,0.9964709627541406,0 days 00:00:15.000000000,1561
0 days 03:23:57.000000000,0 days 00:00:00.000000000,#60,1.0,0 days 00:00:07.000000000,1564
0 days 00:26:15.565217391,0 days 00:00:10.909090909,#20-1,0.9931236888918235,0 days 00:00:16.000000000,1555
