average_uptime,average_downtime,machine,e,ct,product
0 days 00:50:19.000000000,0 days 00:00:00.000000000,#130,1.0,0 days 00:00:17.000000000,122
0 days 00:50:19.000000000,0 days 00:00:00.000000000,#110,1.0,0 days 00:00:15.000000000,121
0 days 00:50:19.000000000,0 days 00:00:00.000000000,#20-2,1.0,0 days 00:00:16.000000000,121
0 days 00:50:19.000000000,0 days 00:00:00.000000000,#150,1.0,0 days 00:00:30.000000000,123
0 days 00:25:02.500000000,0 days 00:00:14.000000000,#30,0.9907682162875041,0 days 00:00:17.000000000,122
0 days 00:50:19.000000000,0 days 00:00:00.000000000,#10,1.0,0 days 00:00:12.000000000,121
0 days 00:25:09.000000000,0 days 00:00:01.000000000,#170,0.9993377483443708,0 days 00:00:12.000000000,98
0 days 00:50:19.000000000,0 days 00:00:00.000000000,#70-2,1.0,0 days 00:00:17.000000000,121
0 days 00:50:19.000000000,0 days 00:00:00.000000000,#100,1.0,0 days 00:00:17.000000000,121
0 days 00:50:19.000000000,0 days 00:00:00.000000000,#80,1.0,0 days 00:00:08.000000000,121
0 days 00:50:19.000000000,0 days 00:00:00.000000000,#120,1.0,0 days 00:00:23.000000000,61
0 days 00:50:19.000000000,0 days 00:00:00.000000000,#90,1.0,0 days 00:00:17.000000000,121
0 days 00:50:19.000000000,0 days 00:00:00.000000000,#70-1,1.0,0 days 00:00:16.000000000,121
0 days 00:50:19.000000000,0 days 00:00:00.000000000,#40,1.0,0 days 00:00:17.000000000,123
0 days 00:50:19.000000000,0 days 00:00:00.000000000,#140,1.0,0 days 00:00:40.000000000,61
0 days 00:50:19.000000000,0 days 00:00:00.000000000,#160,1.0,0 days 00:00:11.000000000,124
0 days 00:50:19.000000000,0 days 00:00:00.000000000,#50-2,1.0,0 days 00:00:17.000000000,123
0 days 00:50:19.000000000,0 days 00:00:00.000000000,#50-1,1.0,0 days 00:00:07.000000000,123
0 days 00:50:19.000000000,0 days 00:00:00.000000000,#60,1.0,0 days 00:00:17.000000000,121
0 days 00:50:19.000000000,0 days 00:00:00.000000000,#20-1,1.0,0 days 00:00:16.000000000,121
