average_uptime,average_downtime,machine,e,ct,product
1 days 05:20:35.000000000,0 days 00:00:18.000000000,#130,0.9998296309617333,0 days 00:00:18.000000000,9301
0 days 04:32:47.923076923,0 days 00:00:26.083333333,#110,0.9984089713837929,0 days 00:00:13.000000000,9272
0 days 01:14:37.760869565,0 days 00:00:24.333333333,#20-2,0.9945951079128161,0 days 00:00:15.000000000,9220
1 days 05:18:57.000000000,0 days 00:00:26.000000000,#150,0.9997537015810464,0 days 00:00:30.000000000,9309
0 days 00:42:21.728395061,0 days 00:00:26.762500000,#30,0.989580457516333,0 days 00:00:17.000000000,9228
0 days 01:22:35.309523809,0 days 00:00:00.000000000,#10,1.0,0 days 00:00:12.000000000,9204
0 days 04:55:36.692307692,0 days 00:00:02.250000000,#170,0.9998731604195463,0 days 00:00:09.000000000,7604
0 days 02:27:44.291666666,0 days 00:00:47.173913043,#70-2,0.9947063799303212,0 days 00:00:16.000000000,9243
0 days 05:26:08.000000000,0 days 00:00:38.000000000,#100,0.9980618178108742,0 days 00:00:14.000000000,9259
1 days 05:22:48.000000000,0 days 00:00:07.000000000,#80,0.9999338217915387,0 days 00:00:07.000000000,9245
0 days 01:31:08.666666666,0 days 00:00:00.000000000,#120,1.0,0 days 00:00:31.000000000,4666
0 days 01:28:25.075000000,0 days 00:00:00.000000000,#90,1.0,0 days 00:00:16.000000000,9251
0 days 02:26:20.041666666,0 days 00:00:47.173913043,#70-1,0.9946558557886093,0 days 00:00:16.000000000,9241
0 days 01:35:42.297297297,0 days 00:00:01.027777777,#40,0.9998210483015387,0 days 00:00:13.000000000,9233
1 days 05:59:57.000000000,0 days 00:00:21.000000000,#140,0.9998055879575626,0 days 00:00:33.000000000,4673
0 days 01:27:15.414634146,0 days 00:00:00.000000000,#160,1.0,0 days 00:00:16.000000000,9313
0 days 01:33:13.315789473,0 days 00:00:00.000000000,#50-2,1.0,0 days 00:00:13.000000000,9238
0 days 01:35:42.243243243,0 days 00:00:00.000000000,#50-1,1.0,0 days 00:00:08.000000000,9237
0 days 14:44:44.000000000,0 days 00:00:27.333333333,#60,0.9994853578018564,0 days 00:00:15.000000000,9236
0 days 01:15:05.413043478,0 days 00:00:24.333333333,#20-1,0.9946281024788565,0 days 00:00:19.000000000,9211
